Aquasonic 100 Non-Sterile 1 Liter (35 Oz) Bx/6,ORIGINAL BLUE * 1 Liter (35oz)  Bx/6 * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,Jan-34,51.4,93.45,Electrotherapy,"Ultrasound Lotions, Gels, Accs",15.02,2,01-20.jpg,1330,14,10,10,,,,,,,,,,
Aquasonic 100 Non-Sterile 1 Liter (35 Oz)  Each,ORIGINAL BLUE * 1 Liter (35oz) * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,01-34A,8.48,15.43,Electrotherapy,"Ultrasound Lotions, Gels, Accs",0,0,01-34a.jpg,1351,0,0,0,,,,,,,,,,
Aquasonic 100 Non-Sterile 5 Liter (175 Oz),ORIGINAL BLUE * 5 Liter(175oz) Each * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,Jan-50,20.8,37.81,Electrotherapy,"Ultrasound Lotions, Gels, Accs",11.84,19,01-50.jpg,1330,16,16,9,01-50.jpg,,,,,,,,,
Sock for Pneumatic Boot XL,Universal Tube Stretch Sock can be used with XP Walker© and FP Walker©. * Used to create a barrier between the boot and the skin  to absorb any sweat and decrease friction,0129A,5.33,9.7,Orthopedic Care,Ankle Braces & Supports,0,7,0129a.jpg,1018,0,0,0,,,,,,,,,,
BSN-Jobst Isoband Finished Edge Bndg 7.9 x5.5yd Cs/35,Woven  pure cotton and light-weight compression bandage useful for fixing padding applications to swollen limb areas * Safe for comprehensive edema managment applications * Safe for long-term lymphedema treatment programs * Contains no elastic threading * Finished edge bandage roll * Can be sterilized *,1959,680.84,1237.89,Wound Care,Elastic Bandages,0.33,0,01959.jpg,1084,8,2,2,,,,,,,,,,
XP Diabetic Walker System Large,* PneumaticWalker Diabetic System includes * XP Diabetic Walker * Insoles (one ImpaxÚ Grid and one Plastizote) *  Stockings * Hand Bulb with Pressure Gauge * An aircell lined shell that maximizes plantar unloading  regulates shear stress  and provides protection and immobilization * Graduated compression to help reduce edema * Multi-aircell support for a  total contact  fit * Regulated aircell  inflation with the specialized Hand Bulb with Pressure Gauge *           A specifically designed rocker sole to reduce plantar pressures and improve off-loading * Small  Men's 4-7  Women's 5-8 * Medium Men's 7-10 Women's 8-11 * Large Men's 10 -13 Women's 11-15 * X-large Men's 13 + Women's 15+ *,01PD-L,200.25,364.1,Foot Care,Cam Walkers/ Foot Walkers,0,0,01pd-l.jpg,1018,0,0,0,,,,,,,,,,
XP Diabetic Walker System Medium,* PneumaticWalker Diabetic System includes * XP Diabetic Walker * Insoles (one ImpaxÚ Grid and one Plastizote) *  Stockings * Hand Bulb with Pressure Gauge * An aircell lined shell that maximizes plantar unloading  regulates shear stress  and provides protection and immobilization * Graduated compression to help reduce edema * Multi-aircell support for a  total contact  fit * Regulated aircell  inflation with the specialized Hand Bulb with Pressure Gauge *           A specifically designed rocker sole to reduce plantar pressures and improve off-loading * Small  Men's 4-7  Women's 5-8 * Medium Men's 7-10 Women's 8-11 * Large Men's 10 -13 Women's 11-15 * X-large Men's 13 + Women's 15+ *,01PD-M,200.25,364.1,Foot Care,Cam Walkers/ Foot Walkers,0,0,01pd-m.jpg,1018,0,0,0,,,,,,,,,,
XP Diabetic Walker System Small,* PneumaticWalker Diabetic System includes * XP Diabetic Walker * Insoles (one ImpaxÚ Grid and one Plastizote) *  Stockings * Hand Bulb with Pressure Gauge * An aircell lined shell that maximizes plantar unloading  regulates shear stress  and provides protection and immobilization * Graduated compression to help reduce edema * Multi-aircell support for a  total contact  fit * Regulated aircell  inflation with the specialized Hand Bulb with Pressure Gauge *           A specifically designed rocker sole to reduce plantar pressures and improve off-loading * Small  Men's 4-7  Women's 5-8 * Medium Men's 7-10 Women's 8-11 * Large Men's 10 -13 Women's 11-15 * X-large Men's 13 + Women's 15+ *,01PD-S,200.25,364.1,Foot Care,Cam Walkers/ Foot Walkers,0,0,01pd-s.jpg,1018,0,0,0,,,,,,,,,,
XP Diabetic Walker System X-Large,* PneumaticWalker Diabetic System includes * XP Diabetic Walker * Insoles (one ImpaxÚ Grid and one Plastizote) *  Stockings * Hand Bulb with Pressure Gauge * An aircell lined shell that maximizes plantar unloading  regulates shear stress  and provides protection and immobilization * Graduated compression to help reduce edema * Multi-aircell support for a  total contact  fit * Regulated aircell  inflation with the specialized Hand Bulb with Pressure Gauge *           A specifically designed rocker sole to reduce plantar pressures and improve off-loading * Small  Men's 4-7  Women's 5-8 * Medium Men's 7-10 Women's 8-11 * Large Men's 10 -13 Women's 11-15 * X-large Men's 13 + Women's 15+ *,01PD-XL,200.25,364.1,Foot Care,Cam Walkers/ Foot Walkers,0,0,01pd-xl.jpg,1018,0,0,0,,,,,,,,,,
Aircast Air-Stirrup Brace Left Large 10.5,Left * Air-Stirrup ankle brace for use with sprains  fractures and chronic instability * Resists inversion without affecting flexion * Anatomically contoured to conform to the ankle with minimum bulk * Comfort and security encourage early reform to function *,02AL,36.89,67.06,Orthopedic Care,Ankle Braces & Supports,0.62,5,02AL.jpg,1018,0,0,0,02AL.jpg,,,,,,,,,
Aircast Air-Stirrup Brace Right Large 10.5,Right * Air-Stirrup ankle brace for use with sprains  fractures and chronic instability * Resists inversion without affecting flexion * Anatomically contoured to conform to the ankle with minimum bulk * Comfort and security encourage early reform to function *,02AR,36.89,67.06,Orthopedic Care,Ankle Braces & Supports,0.6,3,02AR.jpg,1018,0,0,0,02ar.jpg,,,,,,,,,
Aircast Ankle Training Brace Left Medium 9,Features & Benefits * Anatomically designed semi-rigid shells lined with the patented Duplex(TM) aircell technology for support and graduated compression during ambulation * The compression promotes efficient edema reduction in addition to helping accelerate rehabilitation from ankle sprains *  Anatomically designed for acute ankle injury  post-operative use  chronic instability and ankle sprains grade I  II  and III  * PDAC Assigned Code: L4350,02BL,37.51,68.2,Orthopedic Care,Ankle Braces & Supports,0.46,1,02BL.jpg,1018,0,0,0,02BL.jpg,,,,,,,,,
Aircast Ankle Training Brace Right Medium 9,Features & Benefits * Anatomically designed semi-rigid shells lined with the patented Duplex(TM) aircell technology for support and graduated compression during ambulation * The compression promotes efficient edema reduction in addition to helping accelerate rehabilitation from ankle sprains *  Anatomically designed for acute ankle injury  post-operative use  chronic instability and ankle sprains grade I  II  and III  * PDAC Assigned Code: L4350,02BR,37.51,68.2,Orthopedic Care,Ankle Braces & Supports,0,0,02br.jpg,1018,0,0,0,,,,,,,,,,
Aircast Ankle Brace Small Left 8.75,Features & Benefits * Anatomically designed semi-rigid shells lined with the patented Duplex(TM) aircell technology for support and graduated compression during ambulation * The compression promotes efficient edema reduction in addition to helping accelerate rehabilitation from ankle sprains *  Anatomically designed for acute ankle injury  post-operative use  chronic instability and ankle sprains grade I  II  and III  * PDAC Assigned Code: L4350,02CL,37.51,68.2,Orthopedic Care,Ankle Braces & Supports,0,0,02cl.jpg,1018,0,0,0,,,,,,,,,,
Aircast Ankle Brace Small Right  8.75,Features & Benefits * Anatomically designed semi-rigid shells lined with the patented Duplex(TM) aircell technology for support and graduated compression during ambulation * The compression promotes efficient edema reduction in addition to helping accelerate rehabilitation from ankle sprains *  Anatomically designed for acute ankle injury  post-operative use  chronic instability and ankle sprains grade I  II  and III  * PDAC Assigned Code: L4350,02CR,37.51,68.2,Orthopedic Care,Ankle Braces & Supports,0,1,02cr.jpg,1018,0,0,0,,,,,,,,,,
Aircast Sport Ankle Stirrup Left,The Sport-Stirrup© is designed to help prevent ankle injuries  the Sport-Stirrup is based on the Air-Stirrup Ankle Brace but has a narrower design for less bulk in a sneaker or shoe * The Sport-Stirrup has anatomically designed shells that prevent inversion/eversion * Each shell is lined with the patented Duplex aircell system * This exclusive system incorporates two pre-inflated overlapping aircells  distal and proximal  that provide support and protection during ambulation * Features Semi-rigid  anatomically designed shells prevent inversion/eversion * Patented Duplex aircell system for support  and protection * Pre-Inflated aircells for easy application * For Prophylactic protection *,02DL,38.69,70.35,Orthopedic Care,Ankle Braces & Supports,0,0,02dr.jpg,1018,0,0,0,,,,,,,,,,
Aircast Sport Ankle Stirrup Right,The Sport-Stirrup© is designed to help prevent ankle injuries  the Sport-Stirrup is based on the Air-Stirrup Ankle Brace but has a narrower design for less bulk in a sneaker or shoe * The Sport-Stirrup has anatomically designed shells that prevent inversion/eversion * Each shell is lined with the patented Duplex aircell system * This exclusive system incorporates two pre-inflated overlapping aircells  distal and proximal  that provide support and protection during ambulation * Features Semi-rigid  anatomically designed shells prevent inversion/eversion * Patented Duplex aircell system for support  and protection * Pre-Inflated aircells for easy application * For Prophylactic protection *,02DR,38.69,70.35,Orthopedic Care,Ankle Braces & Supports,0.42,1,02dr.jpg,1018,0,0,0,,,,,,,,,,
Air Stirrup  Universal,Patented Duplex aircell system to enhance circulation and reduce swelling * Universal semi-rigid shells prevent further injury while allowing normal ambulation * Pre-Inflated aircell and adjustable heel pad for easy fit * Indications: Ankle sprain & chronic ankle instability *,02E,32.32,58.76,Orthopedic Care,Ankle Braces & Supports,0,12,02e.jpg,1018,0,0,0,,,,,,,,,,
Aircast Pediatric Ankle Brace Left  6,Features & Benefits * Anatomically designed semi-rigid shells lined with the patented Duplex(TM) aircell technology for support and graduated compression during ambulation * The compression promotes efficient edema reduction in addition to helping accelerate rehabilitation from ankle sprains *  Anatomically designed for acute ankle injury  post-operative use  chronic instability and ankle sprains grade I  II  and III  * PDAC Assigned Code: L4350,02JL,45.35,82.45,Orthopedic Care,Ankle Braces & Supports,0,1,02jl.jpg,1018,0,0,0,,,,,,,,,,
Aircast Pediatric Ankle Brace Right  6,Features & Benefits * Anatomically designed semi-rigid shells lined with the patented Duplex(TM) aircell technology for support and graduated compression during ambulation * The compression promotes efficient edema reduction in addition to helping accelerate rehabilitation from ankle sprains *  Anatomically designed for acute ankle injury  post-operative use  chronic instability and ankle sprains grade I  II  and III  * PDAC Assigned Code: L4350,02JR,45.35,82.45,Orthopedic Care,Ankle Braces & Supports,0,1,02jr.jpg,1018,0,0,0,,,,,,,,,,
AirSport Ankle Brace Large Left M 11.5-13  W 13-14.5,LEFT * SIZE LARGE * MEN  11.5 -13 *  WOMEN 13-14.5 * Incorporates clinically proven semi-rigid shell and aircells to provide comfort and support * Additional compression and stabilization is provided by anterior talofibular cross strap and intergral forefoot and shin wraps * The unique  step-in  design (toes first inserted into the back of the brace) and automatic heel adjustment make the AirSport extremely fast and easy to put on * Indication: Ankle sprain; Chronic instability; Prophylaxis,02MLL,40.93,74.41,Orthopedic Care,Ankle Braces & Supports,0,3,02mxsr.jpg,1018,0,0,0,,,,,,,,,,
AirSport Ankle Brace Large Right M 11.5-13  W 13-14.5,RIGHT * SIZE LARGE * MEN  11.5 -13 *  WOMEN 13-14.5 * Incorporates clinically proven semi-rigid shell and aircells to provide comfort and support * Additional compression and stabilization is provided by anterior talofibular cross strap and intergral forefoot and shin wraps * The unique  step-in  design (toes first inserted into the back of the brace) and automatic heel adjustment make the AirSport extremely fast and easy to put on * Indication: Ankle sprain; Chronic instability; Prophylaxis,02MLR,40.93,74.41,Orthopedic Care,Ankle Braces & Supports,0,0,02mxsr.jpg,1018,0,0,0,,,,,,,,,,
AirSport Ankle Brace Medium Left M 7.5-11  W 9-12.5,LEFT * SIZE Medium * MEN  7.5 -11 *  WOMEN 9-12.5 * Incorporates clinically proven semi-rigid shell and aircells to provide comfort and support * Additional compression and stabilization is provided by anterior talofibular cross strap and intergral forefoot and shin wraps * The unique  step-in  design (toes first inserted into the back of the brace) and automatic heel adjustment make the AirSport extremely fast and easy to put on * Indication: Ankle sprain; Chronic instability; Prophylaxis * HCPCS Code L4350,02MML,40.13,72.96,Orthopedic Care,Ankle Braces & Supports,0,2,02mxsr.jpg,1018,0,0,0,,,,,,,,,,
AirSport Ankle Brace Medium Right M 7.5-11  W 9-12.5,RIGHT * SIZE Medium * MEN  7.5 -11 *  WOMEN 9-12.5 * Incorporates clinically proven semi-rigid shell and aircells to provide comfort and support * Additional compression and stabilization is provided by anterior talofibular cross strap and intergral forefoot and shin wraps * The unique  step-in  design (toes first inserted into the back of the brace) and automatic heel adjustment make the AirSport extremely fast and easy to put on * Indication: Ankle sprain; Chronic instability; Prophylaxis,02MMR,40.13,72.96,Orthopedic Care,Ankle Braces & Supports,0,0,02mxsr.jpg,1018,0,0,0,,,,,,,,,,
AirSport Ankle Brace Small Left M 5.5-7  W 5-8.5,LEFT * SIZE Small * MEN  5.5- 7 *  WOMEN 5-8.5 * Incorporates clinically proven semi-rigid shell and aircells to provide comfort and support * Additional compression and stabilization is provided by anterior talofibular cross strap and intergral forefoot and shin wraps * The unique  step-in  design (toes first inserted into the back of the brace) and automatic heel adjustment make the AirSport extremely fast and easy to put on * Indication: Ankle sprain; Chronic instability; Prophylaxis,02MSL,40.93,74.41,Orthopedic Care,Ankle Braces & Supports,0,5,02mxsr.jpg,1018,0,0,0,,,,,,,,,,
AirSport Ankle Brace Small Right M 5.5-7  W 5-8.5,RIGHT * SIZE Small * MEN  5.5- 7 *  WOMEN 5-8.5 * Incorporates clinically proven semi-rigid shell and aircells to provide comfort and support * Additional compression and stabilization is provided by anterior talofibular cross strap and intergral forefoot and shin wraps * The unique  step-in  design (toes first inserted into the back of the brace) and automatic heel adjustment make the AirSport extremely fast and easy to put on * Indication: Ankle sprain; Chronic instability; Prophylaxis,02MSR,40.93,74.41,Orthopedic Care,Ankle Braces & Supports,0,0,02mxsr.jpg,1018,0,0,0,,,,,,,,,,
AirSport Ankle Brace X-Large Left M 13.5+  W 15+,LEFT * SIZE X-LARGE * MEN 13.5+ *  WOMEN 15 + * Incorporates clinically proven semi-rigid shell and aircells to provide comfort and support * Additional compression and stabilization is provided by anterior talofibular cross strap and intergral forefoot and shin wraps * The unique  step-in  design (toes first inserted into the back of the brace) and automatic heel adjustment make the AirSport extremely fast and easy to put on * Indication: Ankle sprain; Chronic instability; Prophylaxis,02MXLL,40.93,74.41,Orthopedic Care,Ankle Braces & Supports,0,3,02mxsr.jpg,1018,0,0,0,,,,,,,,,,
AirSport Ankle Brace X-Large Right M 13.5+  W 15+,RIGHT * SIZE X-LARGE * MEN 13.5 + *  WOMEN 15 + * Incorporates clinically proven semi-rigid shell and aircells to provide comfort and support * Additional compression and stabilization is provided by anterior talofibular cross strap and intergral forefoot and shin wraps * The unique  step-in  design (toes first inserted into the back of the brace) and automatic heel adjustment make the AirSport extremely fast and easy to put on * Indication: Ankle sprain; Chronic instability; Prophylaxis,02MXLR,40.93,74.41,Orthopedic Care,Ankle Braces & Supports,0,0,02mxsr.jpg,1018,0,0,0,,,,,,,,,,
AirSport Ankle Brace X-Small Left M to 5  W to 5,LEFT * SIZE X-Small * MEN Up to 5. WOMEN Up to 5 * Incorporates clinically proven semi-rigid shell and aircells to provide comfort and support * Additional compression and stabilization is provided by anterior talofibular cross strap and intergral forefoot and shin wraps * The unique  step-in  design (toes first inserted into the back of the brace) and automatic heel adjustment make the AirSport extremely fast and easy to put on * Indication: Ankle sprain; Chronic instability; Prophylaxis,02MXSL,40.93,74.41,Orthopedic Care,Ankle Braces & Supports,0,0,02mxsr.jpg,1018,0,0,0,,,,,,,,,,
AirSport Ankle Brace X-Small Right M to 5  W to 5,RIGHT * SIZE X-Small * MEN Up to 5. WOMEN Up to 5 * Incorporates clinically proven semi-rigid shell and aircells to provide comfort and support * Additional compression and stabilization is provided by anterior talofibular cross strap and intergral forefoot and shin wraps * The unique  step-in  design (toes first inserted into the back of the brace) and automatic heel adjustment make the AirSport extremely fast and easy to put on * Indication: Ankle sprain; Chronic instability; Prophylaxis,02MXSR,40.93,74.41,Orthopedic Care,Ankle Braces & Supports,0,0,02mxsr.jpg,1018,0,0,0,,,,,,,,,,
Aircast Airlift PTTD in Large Left,*  Adjustable arch aircell for individualized support and comfort  * Anatomically designed shells for secure ankle stability * Rear entry design and simple two strap application promote ease of use and compliance *,02PLL,50.26,91.38,Orthopedic Care,Ankle Braces & Supports,0,0,02pll.jpg,1018,0,0,0,,,,,,,,,,
AirLift PTTD Brace Left  Medium,Shoe size: Male 7 - 11  Female 9 - 12.5 * Designed for the treatment of posterior tibial tendon dysfunction (PTTD)  or for early signs and symptoms of adult acquired flat foot *,02PML,50.26,91.38,Orthopedic Care,Ankle Braces & Supports,0,0,02PML.jpg,1018,0,0,0,,,,,,,,,,
AirLift PTTD Brace Left  Small,Shoe size: Male up to 7  Female up to 8.5 * Designed for the treatment of posterior tibial tendon dysfunction (PTTD)  or for early signs and symptoms of adult acquired flat foot *,02PSL,50.29,91.43,Orthopedic Care,Ankle Braces & Supports,0,0,02PSL.jpg,1018,0,0,0,,,,,,,,,,
A60 Ankle Support Large Left M 12+  W 13.5+,LEFT * SIZE LARGE * MEN 12+ *  WOMEN 13.5+ * Provides prophylactic support  protection  and comfort with simplified application * The design incorporates a stabilizer  molded at a 60 degree angle to help guard against ankle sprains and prevent rollover * 60 degrees stabilizer helps prevent inversion and eversion * Breathable fabric provides cool and dry comfort * Sleek  anatomical design minimizes bulk in shoe  * No-lace  single strap application simplifies adjustment *,02TLL,40.83,74.24,Orthopedic Care,Ankle Braces & Supports,0,0,02tsr.jpg,1018,0,0,0,,,,,,,,,,
A60 Ankle Support Large Right M 12+  W 13.5+,RIGHT * SIZE LARGE * MEN 12+ *  WOMEN 13.5+ * Provides prophylactic support  protection  and comfort with simplified application * The design incorporates a stabilizer  molded at a 60 degree angle to help guard against ankle sprains and prevent rollover * 60 degrees stabilizer helps prevent inversion and eversion * Breathable fabric provides cool and dry comfort * Sleek  anatomical design minimizes bulk in shoe  * No-lace  single strap application simplifies adjustment *,02TLR,40.83,74.24,Orthopedic Care,Ankle Braces & Supports,0,3,02tsr.jpg,1018,0,0,0,,,,,,,,,,
A60 Ankle Support Brace Medium Left M 7.5-11.5 W 9-13,LEFT * SIZE MEDIUM * MEN 7.5 -11.5 *  WOMEN 9-13 * Provides prophylactic support  protection  and comfort with simplified application * The design incorporates a stabilizer  molded at a 60 degree angle to help guard against ankle sprains and prevent rollover * 60 degrees stabilizer helps prevent inversion and eversion * Breathable fabric provides cool and dry comfort * Sleek  anatomical design minimizes bulk in shoe  * No-lace  single strap application simplifies adjustment *,02TML,40.83,74.24,Orthopedic Care,Ankle Braces & Supports,0,0,02tsr.jpg,1018,0,0,0,,,,,,,,,,
A60 Ankle Support Medium Right M 7.5-11.5  W 9-13,LEFT * SIZE MEDIUM * MEN 7.5 -11.5 *  WOMEN 9-13 * Provides prophylactic support  protection  and comfort with simplified application * The design incorporates a stabilizer  molded at a 60 degree angle to help guard against ankle sprains and prevent rollover * 60 degrees stabilizer helps prevent inversion and eversion * Breathable fabric provides cool and dry comfort * Sleek  anatomical design minimizes bulk in shoe  * No-lace  single strap application simplifies adjustment *,02TMR,40.83,74.24,Orthopedic Care,Ankle Braces & Supports,0,9,02tsr.jpg,1018,0,0,0,,,,,,,,,,
A60 Ankle Support Small Left M 7  W 8.5,LEFT * SIZE SMALL * MEN Less than 7 *  WOMEN Less than 8.5 * Provides prophylactic support  protection  and comfort with simplified application * The design incorporates a stabilizer  molded at a 60 degree angle to help guard against ankle sprains and prevent rollover * 60 degrees stabilizer helps prevent inversion and eversion * Breathable fabric provides cool and dry comfort * Sleek  anatomical design minimizes bulk in shoe  * No-lace  single strap application simplifies adjustment *,02TSL,40.83,74.24,Orthopedic Care,Ankle Braces & Supports,0,6,02tsr.jpg,1018,0,0,0,,,,,,,,,,
A60 Ankle Support Small Right M 7  W 8.5,RIGHT * SIZE SMALL * MEN Less than 7 *  WOMEN Less than 8.5 * Provides prophylactic support  protection  and comfort with simplified application * The design incorporates a stabilizer  molded at a 60 degree angle to help guard against ankle sprains and prevent rollover * 60 degrees stabilizer helps prevent inversion and eversion * Breathable fabric provides cool and dry comfort * Sleek  anatomical design minimizes bulk in shoe  * No-lace  single strap application simplifies adjustment *,02TSR,40.83,74.24,Orthopedic Care,Ankle Braces & Supports,0,0,02tsr.jpg,1018,0,0,0,,,,,,,,,,
Aquasonic Clear 60 Gm Doppler Tube Bx/12,CLEAR * 60g (2.1oz) Tube  Bx/12 * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,2-Mar,19.12,34.76,Electrotherapy,"Ultrasound Lotions, Gels, Accs",1.94,1,03-02.jpg,1330,14,12,9,,,,,,,,,,
Aquasonic Clear 0.25 Liter Bx/12,CLEAR * 0.25 Liter (8.5oz)  Bx/12 * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,8-Mar,29.99,54.52,Electrotherapy,"Ultrasound Lotions, Gels, Accs",7.96,3,03-02.jpg,1330,19,17,8,,,,,,,,,,
Aquasonic Clear 1 Liter (35 oz)  Each,CLEAR * 5 Liter(175oz) Each * World Standard for Medical Ultrasound Transmission  AQUASONIC 100 is the most widely used gel for diagnostic and therapeutic medical ultrasound * Recommended for all procedures where a viscous gel is required * Acoustically correct for the broad range of frequencies used * Completely aqueous  will not stain clothing or damage transducers * Unique can't be copied formula is hypoallergenic  bacteriostatic  non-sensitizing and non-irritating * No formaldehyde * Not a spermicide * Used and recommended by leading manufacturers of medical ultrasound equipment worldwide *,Mar-34,8.89,16.16,Electrotherapy,"Ultrasound Lotions, Gels, Accs",2.42,7,03-02.jpg,1330,14,10,10,,,,,,,,,,
